play_key,catch,probability
y1_d057_KJH_RZQ_287,0,0.07932975642078474
y1_d045_MHY_RZQ_8,1,0.999999987932955
y1_d076_GAX_YJD_35,1,0.9991358153347735
y1_d092_DYE_RZQ_21,0,0.1164043587518197
y2_d093_QZE_RZQ_55,1,0.8445832827211149
y2_d095_QZE_RZQ_208,1,0.9999997726513421
y1_d095_WNA_RZQ_42,1,0.9999975253023269
y1_d100_MRJ_YJD_240,1,0.6492775026990812
y1_d023_AKX_YJD_15,1,0.31516346764192316
y2_d057.5_IAK_RZQ_38,0,0.29430824073781936
y2_d032_KNB_YJD_193,1,0.9999985312899382
y2_d086_LFS_YJD_5,1,0.5371834561540484
y1_d087_CRQ_QEA_16,1,0.9550719945775653
y1_d048_MHY_RZQ_287,0,0.10431792596647378
y1_d070_ACN_QEA_158,0,0.9706209039946598
y2_d068_RDO_RZQ_263,0,0.18849987128857645
y1_d086_DYE_YJD_203,1,0.8631635392147738
y1_d096_XAX_QEA_251,0,0.05572999139593181
y1_d037_HMN_RZQ_172,0,0.223186246026268
y1_d049_UPU_YJD_232,0,0.13719569123234993
y1_d086_CRQ_QEA_283,0,0.4447716534512578
y2_d038_UKI_RZQ_14,1,0.7635129453166044
y2_d071_XFE_RZQ_241,1,0.9030154573184056
y1_d077_GAX_YJD_188,0,0.728398460033334
y1_d011_DYE_RZQ_313,1,0.5912224095494716
y1_d005_JJS_YJD_183,1,0.8106174580392307
y1_d080_FBP_QEA_268,1,0.9755051062074059
y2_d090_NYA_YJD_21,1,0.9996435049324545
y1_d019_JFU_YJD_234,0,0.021030252515828834
y1_d040_TKJ_YJD_277,1,0.9999950195721734
y1_d049_STK_QEA_49,1,0.9675202059250715
y2_d046.5_IHI_YJD_149,1,0.9998805663301776
y2_d091_NYA_YJD_137,1,0.9958784020757518
y2_d011_BVD_RZQ_200,0,0.18644793150352088
y1_d058_KJH_RZQ_244,0,0.6868792287089134
y1_d048_MHY_RZQ_68,0,0.018788581631114368
y1_d066_IAQ_YJD_108,1,0.9870888770871731
y1_d088_CRQ_QEA_60,1,0.9740424478133719
y2_d056_IAK_RZQ_99,1,0.9989840787630927
y2_d076_MGJ_RZQ_10,1,0.7828572702958496
y2_d086_LFS_YJD_144,1,0.7497918723969991
y1_d048_MHY_RZQ_72,1,0.997291869519054
y2_d088_DYE_RZQ_95,1,0.9999284386356123
y2_d085_LFS_YJD_143,1,0.9997209610339018
y2_d028_VMN_YJD_20,1,0.9999999770013265
y2_d012_BVD_RZQ_158,1,0.7255198027580373
y1_d048_UPU_YJD_177,0,0.04451780918857195
y1_d055_APZ_QEA_129,1,0.9777578335507634
y1_d090_DYE_RZQ_62,1,0.9982101396732296
y1_d052_APZ_QEA_216,1,0.9968356312417969
y1_d045_MHY_RZQ_219,1,0.9862729393557986
y2_d064_ESW_YJD_161,1,0.9999972152037537
y2_d069_RDO_RZQ_85,0,0.44725141334811463
y2_d085.5_LFS_YJD_5,1,0.8054565898368894
y2_d003_GHD_YJD_77,1,0.8424998532891675
y2_d026_VMN_YJD_65,1,0.9988369906813496
y2_d009_JMJ_YJD_253,1,0.9987897699581286
y1_d053_APZ_QEA_134,0,0.07820563199825863
y2_d026_VMN_YJD_25,1,0.9998644538082048
y2_d023_DMS_RZQ_22,1,0.9981888352438602
y1_d098_MRJ_YJD_253,1,0.9890699835971145
y2_d056_IAK_RZQ_118,1,0.9745187391448219
y2_d081_YJD_RZQ_36,0,0.019070976752810644
y1_d057_KJH_RZQ_30,1,0.7031360030440501
y2_d045_IHI_YJD_70,1,0.5654056394887451
y1_d043_WJU_QEA_78,1,0.9990895923509493
y2_d094_QZE_RZQ_72,1,0.997160479881609
y2_d063_KIR_RZQ_143,1,0.9999984264323397
y2_d021_DMS_RZQ_141,1,0.9270317402918399
y1_d067_UEX_RZQ_265,0,0.026444747561167097
y2_d047_IHI_YJD_197,1,0.9995517470246019
y1_d096_XAX_QEA_44,1,0.613798108391224
y2_d061_KIR_RZQ_7,1,0.9999999928032199
y2_d096_QZE_RZQ_102,1,0.9233935274523334
y1_d081_FBP_QEA_113,1,0.9842162928110757
y1_d039_HMN_RZQ_201,1,0.9977754444366023
y1_d084_YJD_RZQ_70,1,0.943784701758995
y1_d075_UWE_YJD_67,1,0.9994693256257623
y1_d046_WJU_QEA_47,0,0.04216484797300322
y2_d053_PTB_YJD_148,1,0.9999972190314175
y1_d045_VHS_YJD_268,1,0.9834447671983725
y1_d096_WNA_RZQ_250,1,0.9998264964591059
y2_d070_RDO_RZQ_55,1,0.9576057112518696
y2_d081_YJD_RZQ_174,1,0.7762341568495873
y1_d092_DYE_RZQ_90,1,0.999986623411435
y1_d073_PHS_RZQ_37,1,0.9993087192975589
y2_d084_LFS_YJD_44,1,0.9999775715908382
y2_d015_TEQ_YJD_13,1,0.9605836124025914
y1_d058_OXG_QEA_291,1,0.99970986727766
y2_d094_QZE_RZQ_108,1,0.9993686453626621
y2_d010_JMJ_YJD_79,0,0.3878809406406013
y2_d071_DYE_YJD_256,1,0.5510076881803094
y2_d060_POW_YJD_150,1,0.998422405680452
y1_d046_MHY_RZQ_175,0,0.430425451812317
y1_d095_XAX_QEA_222,1,0.9258463682029414
y1_d048_MHY_RZQ_115,1,0.9955124171096923
y1_d085_YJD_RZQ_209,1,0.9831700246863198
y2_d011_BVD_RZQ_31,1,0.9988200473843698
y2_d042_RZQ_YJD_77,0,0.01746351634959565
y2_d075_VZE_YJD_113,1,0.9993785657396851
y1_d056_WZR_YJD_65,1,0.9898516343530042
y2_d041_XLB_RZQ_106,1,0.9999999937067443
y1_d010_GEA_YJD_142,0,0.0688287380792288
y2_d055_IAK_RZQ_222,1,0.9965255612412304
y2_d008_JMJ_YJD_35,1,0.9018051129284153
y2_d026_VMN_YJD_122,0,0.020872259882742005
y2_d083.5_WMI_YJD_68,1,0.9999953206494908
y1_d077_GAX_YJD_215,1,0.999999921909542
y2_d024.5_ALA_YJD_4,1,0.9976122292054012
y2_d049_DYE_RZQ_143,1,0.9988763046667954
y1_d050_JZK_RZQ_192,0,0.1025376211241183
y1_d023_AKX_YJD_86,0,0.20951194080305885
y1_d067_OWH_QEA_154,1,0.9918888222630897
y1_d056_KJH_RZQ_188,1,0.9999923226114663
y2_d041_XLB_RZQ_50,0,0.9973717433483978
y2_d027_YUH_RZQ_89,0,0.12325280905776542
y1_d045_VHS_YJD_70,1,0.9999750137335127
y2_d024_ALA_YJD_163,1,0.9742588597737127
y2_d012_BVD_RZQ_74,0,0.1854459701250137
y1_d087_CRQ_QEA_17,1,0.9993183968518395
y1_d026_JIL_RZQ_93,1,0.7628541120543956
y1_d025_JIL_RZQ_226,1,0.30480867447843885
y2_d010_JMJ_YJD_212,1,0.9966470596811986
y2_d002_BEJ_RZQ_43,1,0.6429301286057509
y2_d027_VMN_YJD_162,1,0.7166754457456715
y2_d089_DYE_RZQ_167,1,0.9999995310240316
y1_d023_AKX_YJD_54,1,0.9993951427379779
y1_d080_FBP_QEA_77,1,0.989808043511838
y1_d024_AKX_YJD_154,1,0.9923001557921284
y1_d051_UPU_YJD_145,1,0.9999999221559009
y1_d060_JNJ_QEA_59,0,0.02201454551842727
y2_d071_XFE_RZQ_248,0,0.26235095780672313
y1_d090_DYE_RZQ_79,1,0.9263175255359172
y1_d058_KJH_RZQ_261,1,0.9920498602232882
y2_d002_BEJ_RZQ_171,0,0.4765547801649739
y2_d084_LFS_YJD_193,1,0.9999923445154315
y1_d045_MHY_RZQ_111,0,0.02272218012426173
y2_d007_DYE_RZQ_47,1,0.9997969123390066
y2_d028_VMN_YJD_319,1,0.9981347804676005
y1_d059_JNJ_QEA_188,1,0.9922981890199528
y1_d027_JIL_RZQ_148,1,0.9999256462301844
y2_d059_POW_YJD_288,1,0.9796657454249124
y2_d026_VMN_YJD_14,1,0.998729685676429
y1_d003_CGA_QEA_279,1,0.9993663870229385
y1_d094_KQQ_YJD_64,1,0.5190920694477568
y1_d083_YJD_RZQ_138,1,0.4476360205796478
y1_d075_PHS_RZQ_217,1,0.9999620362872641
y1_d083_YJD_RZQ_4,1,0.7593314520158465
y1_d046_MHY_RZQ_148,0,0.03455084429792349
y2_d085.5_LFS_YJD_106,1,0.6152989735877274
y1_d097_MRJ_YJD_182,1,0.9692204358489555
y2_d094_QZE_RZQ_291,1,0.9999901390844972
y1_d009_GEA_YJD_139,1,0.9945816912550944
y2_d014_TEQ_YJD_202,1,0.9999571031361337
y2_d091_NYA_YJD_214,0,0.08130440239427414
y2_d016_TEQ_YJD_33,1,0.9982006651563247
y2_d073_DYE_YJD_95,1,0.9972305853939762
y2_d002_GHD_YJD_49,0,0.08414975991771254
y2_d011_BVD_RZQ_183,1,0.9676332159936258
y2_d010_JMJ_YJD_141,1,0.997427069041725
y1_d012_IXC_QEA_131,1,0.998500232399062
y2_d042_RZQ_YJD_27,1,0.9673318528335813
y1_d050_JZK_RZQ_23,1,0.9623967325076397
y1_d004_CGA_QEA_302,1,0.9975420207633828
y2_d076_MGJ_RZQ_119,1,0.3510735966874545
