play_key,year,day,venue,player_team,player_id,player_position,hangtime,t_dist_react,direct_dist_traveled,t_route_dist,route_eff,max_sprint,angle_route,direction,backwards,dist_to_result,dist_from_result,ball_position_z,catch
y1_d057_KJH_RZQ_287,1,57.0,RZQ,RZQ,RZQ-0274,8,2.5,4.0563645637334185,26.009396202334266,27.512010737590895,0.9454,17.042367164538497,-15.02251731970122,In Right,0,50.662396343343275,33.69888951820224,-0.642417,False
y1_d045_MHY_RZQ_8,1,45.0,RZQ,RZQ,RZQ-0214,9,5.95,1.6857076348567583,12.169531634372778,18.26504059929226,0.6663,5.7072939198758466,-102.9838183723847,In,0,7.853306978591879,4.455076261973517,0.940107,True
y1_d076_GAX_YJD_35,1,76.0,YJD,GAX,GAX-1732,7,6.75,7.249827984490518,97.03806077720226,101.80866639009913,0.9531,22.606411614541337,-47.58032435849701,In Right,0,97.02980623540377,0.6566141332624341,4.86153,True
y1_d092_DYE_RZQ_21,1,92.0,RZQ,DYE,DYE-0408,8,3.05,6.1684178075385825,45.61234674887929,45.98998077411535,0.9918,22.920965358341892,-11.612649441706136,In Right,0,61.65899568603107,23.95069205033541,-1.8957,False
y2_d093_QZE_RZQ_55,2,93.0,RZQ,QZE,QZE-2280,7,4.15,5.914875420852034,54.76363097549321,58.98095901501718,0.9285,22.605811895423603,72.29896146256714,Back,1,57.9180661426122,3.840980734135503,4.0245,True
y2_d095_QZE_RZQ_208,2,95.0,RZQ,QZE,QZE-2217,7,5.9,1.8662140116677202,23.604876772607803,29.999854703533593,0.7868,7.849623490939895,-142.1754067172018,In Left,0,24.82668296108041,1.4294516780920123,5.6145,True
y1_d095_WNA_RZQ_42,1,95.0,RZQ,WNA,WNA-1635,7,6.7,2.675494695459523,58.64757219399622,62.188268432337985,0.9431,15.052219853213765,-78.88969156411758,In,0,59.461771612103846,0.8248969026490521,5.5005,True
y1_d100_MRJ_YJD_240,1,100.0,YJD,YJD,YJD-0210,9,3.5,11.899333813091715,54.21534438016604,62.688105839930216,0.8648,24.030476430628312,173.9914421054187,Back Left,0,56.41733368052766,2.2050339589221783,5.91774,True
y1_d023_AKX_YJD_15,1,23.0,YJD,YJD,YJD-0185,7,3.47,7.464614951330532,62.907067028911776,64.82410219364137,0.9704,26.627810638552013,-143.01495889470598,In Left,0,64.30836269234351,1.860534237792998,2.102136,True
y2_d057.5_IAK_RZQ_38,2,7.5,RZQ,IAK,IAK-1196,8,3.55,10.422916945874755,56.02978590803287,63.055658454948336,0.8886,24.549826135652182,14.906142422734455,Back Right,0,66.90171294107498,20.823112602346466,-0.896952,False
y2_d032_KNB_YJD_193,2,32.0,YJD,KNB,KNB-1796,7,6.47,3.6909598728719337,50.50125726286427,70.09696755171028,0.7204,19.84821742385836,-49.23560363833648,In Right,0,50.52547100987779,0.3381600212916834,5.96025,True
y2_d086_LFS_YJD_5,2,86.0,YJD,LFS,LFS-1637,8,2.45,5.418328682497709,30.01131206728553,30.781506711943333,0.975,19.654344852831336,-98.86007541704345,In,0,33.29201539565303,3.5276109423234354,4.48623,True
y1_d087_CRQ_QEA_16,1,87.0,QEA,CRQ,CRQ-2005,8,3.0,5.959378392386356,26.40777861256036,29.2687817710972,0.9023,13.488111089408346,-133.6517933381824,In Left,0,28.885221512912096,2.8218817126165834,2.932533,True
y1_d048_MHY_RZQ_287,1,48.0,RZQ,MHY,MHY-1021,8,3.0,5.754455646787148,42.89448860926075,44.09512872470953,0.9728,21.690015491249625,-103.37417601887768,In,0,61.18419332532219,18.36167530091958,-0.548694,False
y1_d070_ACN_QEA_158,1,70.0,QEA,QEA,QEA-0424,7,4.7,3.171230244697188,54.49898415823914,58.40573077099544,0.9331,19.2952995779979,113.15924772656767,Back,1,60.35208692240893,6.055317901646477,4.50522,False
y2_d068_RDO_RZQ_263,2,68.0,RZQ,RDO,RDO-1421,7,2.3,8.218432191376008,27.57730329165635,29.06812707175256,0.9487,17.83273053473891,-141.06081916434803,In Left,0,39.55428838950337,17.56700162122154,-3.27102,False
y1_d086_DYE_YJD_203,1,86.0,YJD,DYE,DYE-0331,7,2.9,2.8504908679972574,31.3777696788666,32.74071506865552,0.9584,18.696547094373017,-72.76665897162641,In,0,33.943255507537856,2.5691430575193577,2.203812,True
y1_d096_XAX_QEA_251,1,96.0,QEA,XAX,XAX-2387,8,4.05,3.166956838231101,66.40032045382016,67.51333572028784,0.9835,27.439165008243453,80.38783378778099,Back,1,83.49437320869237,17.43498317310342,-0.647379,False
y1_d037_HMN_RZQ_172,1,37.0,RZQ,HMN,HMN-1633,7,2.8,5.855852223861095,35.4351292527627,35.74167492130253,0.9914,18.732060185841426,-65.7941068375728,In,0,50.62663414073661,15.26286420892226,-2.660364,False
y1_d049_UPU_YJD_232,1,49.0,YJD,UPU,UPU-1731,9,3.65,9.766478486726902,70.72337709590799,72.32711069600363,0.9778,28.088839903727614,-47.11070302342736,In Right,0,75.36118509816575,5.241573943959945,-0.1762758,False
y1_d086_CRQ_QEA_283,1,86.0,QEA,QEA,QEA-0424,7,2.6,5.679019903123454,16.460457599046283,17.310896890396076,0.9509,8.808518363951846,-6.486068486571269,In Right,0,39.3096404351401,26.3944646123008,-0.391587,False
y2_d038_UKI_RZQ_14,2,38.0,RZQ,UKI,UKI-1906,7,2.2,6.057833493004881,19.064245084975173,19.448586963495792,0.9802,12.214302812749725,-42.775692395544425,In Right,0,20.750476641513583,3.943158516975968,-0.94863,True
y2_d071_XFE_RZQ_241,2,71.0,RZQ,XFE,XFE-2310,7,3.7,8.26644914506283,50.84553726611608,51.72760386454046,0.9829,18.531499315534106,-115.01734278019728,In,0,51.35368199077842,0.7195971998277864,4.32204,True
y1_d077_GAX_YJD_188,1,77.0,YJD,GAX,GAX-2306,9,2.45,5.689269445193722,29.650570388442777,30.454175474765865,0.9736,19.50344312587071,-152.8816917218767,In Left,0,28.096858697192445,2.426116990171745,-0.882345,False
y1_d011_DYE_RZQ_313,1,11.0,RZQ,DYE,DYE-0188,7,4.05,5.775229796816355,70.66497372277159,73.52624582527244,0.9611,26.669691842123125,-117.79633394293539,In,0,71.5787448555086,1.0768419243324459,4.6737,True
y1_d005_JJS_YJD_183,1,5.0,YJD,JJS,JJS-2128,9,5.61,9.524800945634679,103.31730353624216,106.52064246816242,0.9699,27.491031614398985,-69.458480853543,In,0,103.50850052744461,0.8109252493294232,2.5455,True
y1_d080_FBP_QEA_268,1,80.0,QEA,QEA,QEA-0421,8,5.3,5.6113900902110725,79.21472607697385,82.21931648500583,0.9635,23.889224649344172,132.9854505273912,Back Left,0,81.99012758113017,2.779485380425664,3.78303,True
y2_d090_NYA_YJD_21,2,90.0,YJD,NYA,NYA-1183,9,4.7,3.26863225140102,40.509219992737464,41.96880580295628,0.9652,12.454157642370388,-173.576401112922,In Left,0,40.73049687654203,0.2857702748712678,4.13895,True
y1_d019_JFU_YJD_234,1,19.0,YJD,YJD,YJD-0193,9,2.05,4.287533390419014,13.866005614451481,14.817645832979325,0.9358,10.788168948000486,146.05516705481713,Back Left,0,48.12689636741601,45.062493632066115,-0.750165,False
y1_d040_TKJ_YJD_277,1,40.0,YJD,TKJ,TKJ-2441,8,5.5,1.7281182541222098,34.08211995827136,38.52981153093409,0.8846,12.744775121166196,169.60371774303596,Back Left,0,34.061630875941624,1.4903197022451036,5.72448,True
y1_d049_STK_QEA_49,1,49.0,QEA,QEA,QEA-0252,9,4.95,3.9683545467332504,71.13751231755299,73.27982242945828,0.9708,21.106413434735497,115.27828667002338,Back,1,67.18987283668572,5.202900631378668,5.38497,True
y2_d046.5_IHI_YJD_149,2,6.5,YJD,IHI,IHI-2576,9,4.45,3.4900682636776303,25.586085282629707,32.12402353257043,0.7965,12.127797588402348,172.4675967486233,Back Left,0,27.74996948917241,3.56694605510094,4.8531,True
y2_d091_NYA_YJD_137,2,91.0,YJD,NYA,NYA-2311,7,4.25,4.265893582987552,44.11290951048232,46.72498319310523,0.9441,19.17836252082672,152.76891904690078,Back Left,0,44.7852168896166,0.678570622706271,6.5628,True
y2_d011_BVD_RZQ_200,2,11.0,RZQ,RZQ,RZQ-0409,7,2.45,6.888047196988175,24.73514717967128,27.420106051754672,0.9021,17.979770162991926,-15.295344224572489,In Right,0,43.35517698499223,22.793413930344016,-0.833442,False
y1_d058_KJH_RZQ_244,1,58.0,RZQ,RZQ,RZQ-0274,8,3.45,3.049664202911329,44.82349079779484,44.845531170877756,0.9995,21.932219919943044,117.04198619793833,Back,1,46.19780770090722,1.3746393163299666,6.0801,False
y1_d048_MHY_RZQ_68,1,48.0,RZQ,RZQ,RZQ-0274,8,4.5,6.193878650184426,52.9389323319804,55.630523897673996,0.9516,24.289664207513997,118.73712285951497,Back,1,101.62889904003681,49.808941514149815,0.783627,False
y1_d066_IAQ_YJD_108,1,66.0,YJD,IAQ,IAQ-1783,8,3.8,3.108783503946042,41.24905512772385,44.865618248746905,0.9194,22.736853065800222,146.00666623545683,Back Left,0,40.77127854287747,0.7710245838493077,5.32347,True
y1_d088_CRQ_QEA_60,1,88.0,QEA,QEA,QEA-0424,9,3.9,5.528536204228906,40.09796886988163,45.71585899996922,0.8771,17.30964316652044,102.5723276143281,Back,1,39.73643115542711,0.4303152565270893,6.23703,True
y2_d056_IAK_RZQ_99,2,56.0,RZQ,IAK,IAK-2490,7,5.9,3.0853804242591583,79.10793922514982,79.73009112963844,0.9922,19.8125785218159,-98.83972958507148,In,0,76.96934035607946,2.378091200942449,0.966945,True
y2_d076_MGJ_RZQ_10,2,76.0,RZQ,RZQ,RZQ-0275,7,2.35,6.256922278587242,23.96073577543061,28.865384737147693,0.8301,18.886737912570197,-148.7222742131761,In Left,0,23.78323187142572,0.6470204401717238,4.28157,True
y2_d086_LFS_YJD_144,2,86.0,YJD,YJD,YJD-0345,9,3.45,6.8297689567218045,52.72629082658855,53.939343223525746,0.9775,21.090858991805966,128.2730736871106,Back Left,0,52.19055451870575,5.050010077217668,4.62036,True
y1_d048_MHY_RZQ_72,1,48.0,RZQ,RZQ,RZQ-0014,9,4.4,5.935102074366633,45.039632087751336,48.73009269087472,0.9243,16.504172703481068,150.3976004783659,Back Left,0,45.888533736435726,1.8208256259180926,6.0063,True
y2_d088_DYE_RZQ_95,2,88.0,RZQ,DYE,DYE-0331,7,5.15,4.4249263115317135,40.84590764140272,55.0023166851348,0.7426,14.405749142451203,-153.95249479590132,In Left,0,41.919913925126316,3.1946901258181377,5.26089,True
y2_d085_LFS_YJD_143,2,85.0,YJD,LFS,LFS-2216,9,5.05,3.4796562706490075,47.25855011402698,48.52245978721658,0.974,13.936371353033504,-74.5610089009996,In,0,47.88420247816602,0.6354264158814945,6.11007,True
y2_d028_VMN_YJD_20,2,28.0,YJD,VMN,VMN-2464,9,6.4,3.2202930935513554,17.595205431025793,31.56896689302853,0.5574,11.701534857737709,78.5429296207607,Back,1,15.078349072759954,4.1996287121601386,5.73291,True
y2_d012_BVD_RZQ_158,2,12.0,RZQ,BVD,BVD-1877,7,2.25,7.619152807245678,22.915085640031993,23.862774230552517,0.9603,15.152505347558872,7.947324567327794,Back Right,0,23.230385284148873,2.4522152678751388,1.672338,True
y1_d048_UPU_YJD_177,1,48.0,YJD,YJD,YJD-0210,9,3.2,10.672833512027863,54.99574593384474,58.707721752629254,0.9368,25.16260831271891,-26.073456145659616,In Right,0,71.82385870899724,20.909281487655175,-0.2013105,False
y1_d055_APZ_QEA_129,1,55.0,QEA,APZ,APZ-2380,9,3.55,5.333915196167763,40.9537899828575,41.50426763633163,0.9867,18.139176948116607,-11.625847501708627,In Right,0,38.00854655153233,4.836195666016831,3.4374,True
y1_d090_DYE_RZQ_62,1,90.0,RZQ,DYE,DYE-0095,8,3.15,0.6171634709914663,10.82999382132788,12.072979065231292,0.897,9.321633802985561,-82.96238983075109,In,0,12.336238858679712,1.5618154770650428,4.11393,True
y1_d052_APZ_QEA_216,1,52.0,QEA,QEA,QEA-0252,9,4.45,5.299174438699674,48.70694202934525,49.508070248341426,0.9838,18.446166250841376,-102.04336665192656,In,0,48.0962809619413,0.6192630781824688,3.86814,True
y1_d045_MHY_RZQ_219,1,45.0,RZQ,MHY,MHY-1634,7,3.4,2.8373814920390417,30.742421500753633,30.751534827996093,0.9997,14.027610797556369,157.5976336484095,Back Left,0,31.243662429363162,0.6906055386398151,5.58684,True
y2_d064_ESW_YJD_161,2,64.0,YJD,YJD,YJD-0340,9,5.8,3.1154668178728007,37.69285245454368,44.638692843453796,0.8444,11.516164849285051,-173.01378803651338,In Left,0,37.8901281042965,0.20367503528905812,6.62844,True
y2_d069_RDO_RZQ_85,2,69.0,RZQ,RDO,RDO-1421,8,3.7,9.898665035619647,49.59795709663854,59.936987459599166,0.8275,22.16585813849914,94.11653050470176,Back,1,58.58007572803659,8.98866702589993,-1.853496,False
y2_d085.5_LFS_YJD_5,2,5.5,YJD,YJD,YJD-0345,9,4.85,6.172962398794189,85.50471515419486,89.22394137411892,0.9583,24.545391005350602,148.7223742066437,Back Left,0,84.88043832362082,2.8895534205132933,4.5939,True
y2_d003_GHD_YJD_77,2,3.0,YJD,GHD,GHD-2483,8,5.02,1.920792711225181,87.89997729265922,89.29767544079213,0.9843,27.85647537213604,-105.27125757134604,In,0,87.50420605407865,0.4664401655614603,6.38079,True
y2_d026_VMN_YJD_65,2,26.0,YJD,VMN,VMN-2242,9,7.1,6.101726549527944,107.52345895942896,109.90496367875494,0.9783,24.273124476310937,-100.6946222538905,In,0,107.54763579744561,0.3395960247117174,6.6834,True
y2_d009_JMJ_YJD_253,2,9.0,YJD,YJD,YJD-0397,7,5.1,5.628575340238676,54.865766966296945,58.39145521279488,0.9396,20.451052554484818,95.4997369620653,Back,1,50.30272623804796,5.426006194246397,-0.469047,True
y1_d053_APZ_QEA_134,1,53.0,QEA,QEA,QEA-0252,8,4.15,5.507170500650565,55.41517182035981,56.26908590184224,0.9848,18.894609097293937,14.3099310473674,Back Right,0,91.64910130066745,46.20009732652089,4.12638,False
y2_d026_VMN_YJD_25,2,26.0,YJD,VMN,VMN-2212,7,6.2,5.146482967849512,70.29333737595618,78.30143732481578,0.8977,27.038275963499387,-158.2715155044825,In Left,0,71.90391125223995,2.704156334238084,4.41477,True
y2_d023_DMS_RZQ_22,2,23.0,RZQ,RZQ,RZQ-0409,7,4.3,1.892395019273823,40.88077485628178,43.62541287186235,0.9371,18.29267210114262,-23.068241684884807,In Right,0,40.90928407158942,0.286616991820089,6.21789,True
y1_d098_MRJ_YJD_253,1,98.0,YJD,YJD,YJD-0210,8,5.15,4.810146793909689,70.72127323754854,74.05578072472842,0.955,20.386110732645164,150.00499225989583,Back Left,0,73.18149406707953,3.590885173602749,4.60431,True
y2_d056_IAK_RZQ_118,2,56.0,RZQ,RZQ,RZQ-0279,8,3.0,2.302106203566561,25.0531408659673,25.68292503256,0.9755,14.083994034098485,-50.809794597807,In Right,0,25.242267432930827,1.1871493105755353,2.327805,True
y2_d081_YJD_RZQ_36,2,81.0,RZQ,RZQ,RZQ-0231,9,3.7,5.668820250509455,58.21593881541379,61.392622960957794,0.9483,25.840852002827397,102.34254853132724,Back,1,81.708824353126,23.951821376463176,-0.464307,False
y1_d057_KJH_RZQ_30,1,57.0,RZQ,KJH,KJH-1357,9,3.25,6.88572695343263,47.98365661608128,50.01715428521879,0.9593,21.858973128497833,157.9847950786003,Back Left,0,48.693261318687625,1.7636787972870842,6.6702,True
