play_key,hangtime,backwards,dist_to_result,catch
y1_d057_KJH_RZQ_287,2.5,0,50.662396343343275,False
y1_d045_MHY_RZQ_8,5.95,0,7.853306978591879,True
y1_d076_GAX_YJD_35,6.75,0,97.02980623540377,True
y1_d092_DYE_RZQ_21,3.05,0,61.65899568603107,False
y2_d093_QZE_RZQ_55,4.15,1,57.9180661426122,True
y2_d095_QZE_RZQ_208,5.9,0,24.82668296108041,True
y1_d095_WNA_RZQ_42,6.7,0,59.461771612103846,True
y1_d100_MRJ_YJD_240,3.5,0,56.41733368052766,True
y1_d023_AKX_YJD_15,3.47,0,64.30836269234351,True
y2_d057.5_IAK_RZQ_38,3.55,0,66.90171294107498,False
y2_d032_KNB_YJD_193,6.47,0,50.52547100987779,True
y2_d086_LFS_YJD_5,2.45,0,33.29201539565303,True
y1_d087_CRQ_QEA_16,3.0,0,28.885221512912096,True
y1_d048_MHY_RZQ_287,3.0,0,61.18419332532219,False
y1_d070_ACN_QEA_158,4.7,1,60.35208692240893,False
y2_d068_RDO_RZQ_263,2.3,0,39.55428838950337,False
y1_d086_DYE_YJD_203,2.9,0,33.943255507537856,True
y1_d096_XAX_QEA_251,4.05,1,83.49437320869237,False
y1_d037_HMN_RZQ_172,2.8,0,50.62663414073661,False
y1_d049_UPU_YJD_232,3.65,0,75.36118509816575,False
y1_d086_CRQ_QEA_283,2.6,0,39.3096404351401,False
y2_d038_UKI_RZQ_14,2.2,0,20.750476641513583,True
y2_d071_XFE_RZQ_241,3.7,0,51.35368199077842,True
y1_d077_GAX_YJD_188,2.45,0,28.096858697192445,False
y1_d011_DYE_RZQ_313,4.05,0,71.5787448555086,True
y1_d005_JJS_YJD_183,5.61,0,103.50850052744461,True
y1_d080_FBP_QEA_268,5.3,0,81.99012758113017,True
y2_d090_NYA_YJD_21,4.7,0,40.73049687654203,True
y1_d019_JFU_YJD_234,2.05,0,48.12689636741601,False
y1_d040_TKJ_YJD_277,5.5,0,34.061630875941624,True
y1_d049_STK_QEA_49,4.95,1,67.18987283668572,True
y2_d046.5_IHI_YJD_149,4.45,0,27.74996948917241,True
y2_d091_NYA_YJD_137,4.25,0,44.7852168896166,True
y2_d011_BVD_RZQ_200,2.45,0,43.35517698499223,False
y1_d058_KJH_RZQ_244,3.45,1,46.19780770090722,False
y1_d048_MHY_RZQ_68,4.5,1,101.62889904003681,False
y1_d066_IAQ_YJD_108,3.8,0,40.77127854287747,True
y1_d088_CRQ_QEA_60,3.9,1,39.73643115542711,True
y2_d056_IAK_RZQ_99,5.9,0,76.96934035607946,True
y2_d076_MGJ_RZQ_10,2.35,0,23.78323187142572,True
y2_d086_LFS_YJD_144,3.45,0,52.19055451870575,True
y1_d048_MHY_RZQ_72,4.4,0,45.888533736435726,True
y2_d088_DYE_RZQ_95,5.15,0,41.919913925126316,True
y2_d085_LFS_YJD_143,5.05,0,47.88420247816602,True
y2_d028_VMN_YJD_20,6.4,1,15.078349072759954,True
y2_d012_BVD_RZQ_158,2.25,0,23.230385284148873,True
y1_d048_UPU_YJD_177,3.2,0,71.82385870899724,False
y1_d055_APZ_QEA_129,3.55,0,38.00854655153233,True
y1_d090_DYE_RZQ_62,3.15,0,12.336238858679712,True
y1_d052_APZ_QEA_216,4.45,0,48.0962809619413,True
y1_d045_MHY_RZQ_219,3.4,0,31.243662429363162,True
y2_d064_ESW_YJD_161,5.8,0,37.8901281042965,True
y2_d069_RDO_RZQ_85,3.7,1,58.58007572803659,False
y2_d085.5_LFS_YJD_5,4.85,0,84.88043832362082,True
y2_d003_GHD_YJD_77,5.02,0,87.50420605407865,True
y2_d026_VMN_YJD_65,7.1,0,107.54763579744561,True
y2_d009_JMJ_YJD_253,5.1,1,50.30272623804796,True
y1_d053_APZ_QEA_134,4.15,0,91.64910130066745,False
y2_d026_VMN_YJD_25,6.2,0,71.90391125223995,True
y2_d023_DMS_RZQ_22,4.3,0,40.90928407158942,True
y1_d098_MRJ_YJD_253,5.15,0,73.18149406707953,True
y2_d056_IAK_RZQ_118,3.0,0,25.242267432930827,True
y2_d081_YJD_RZQ_36,3.7,1,81.708824353126,False
y1_d057_KJH_RZQ_30,3.25,0,48.693261318687625,True
y2_d045_IHI_YJD_70,5.3,0,103.2133329810156,True
y1_d043_WJU_QEA_78,4.1,1,23.75280812556693,True
y2_d094_QZE_RZQ_72,4.4,0,46.183234656092075,True
y2_d063_KIR_RZQ_143,5.45,0,25.67541700167691,True
y2_d021_DMS_RZQ_141,3.95,0,55.62144384614625,True
y1_d067_UEX_RZQ_265,3.0,0,70.21445551487243,False
y2_d047_IHI_YJD_197,3.9,0,22.326070241088118,True
y1_d096_XAX_QEA_44,5.0,0,94.5369591749703,True
y2_d061_KIR_RZQ_7,6.6,0,20.7556648703432,True
y2_d096_QZE_RZQ_102,3.83,0,52.97380093829404,True
y1_d081_FBP_QEA_113,5.65,0,87.8825452012514,True
y1_d039_HMN_RZQ_201,4.85,0,55.81734238970895,True
y1_d084_YJD_RZQ_70,4.2,0,60.08788828790709,True
y1_d075_UWE_YJD_67,5.65,1,58.814727733876296,True
y1_d046_WJU_QEA_47,5.75,0,135.3705355607342,False
y2_d053_PTB_YJD_148,6.8,0,62.663781882759054,True
y1_d045_VHS_YJD_268,3.55,0,36.140858690684134,True
y1_d096_WNA_RZQ_250,6.5,0,80.8702699874311,True
y2_d070_RDO_RZQ_55,3.45,0,39.6606922144584,True
y2_d081_YJD_RZQ_174,3.15,1,35.920345016160375,True
y1_d092_DYE_RZQ_90,6.4,0,62.49430015617424,True
y1_d073_PHS_RZQ_37,5.1,0,54.75333230187913,True
y2_d084_LFS_YJD_44,6.1,0,58.265626265406254,True
y2_d015_TEQ_YJD_13,4.0,1,44.89213267422254,True
y1_d058_OXG_QEA_291,4.25,0,28.300365090575085,True
y2_d094_QZE_RZQ_108,5.35,0,60.386016227765836,True
y2_d010_JMJ_YJD_79,4.06,1,69.01799728896805,False
y2_d071_DYE_YJD_256,3.85,1,59.71363496706594,True
y2_d060_POW_YJD_150,3.7,0,25.182058507794817,True
y1_d046_MHY_RZQ_175,3.2,0,54.54057735007945,False
y1_d095_XAX_QEA_222,4.3,0,64.40310638424202,True
y1_d048_MHY_RZQ_115,3.3,0,21.772142675676157,True
y1_d085_YJD_RZQ_209,3.3,0,30.049144966165034,True
y2_d011_BVD_RZQ_31,4.1,0,33.290902183000355,True
y2_d042_RZQ_YJD_77,3.15,0,76.56270309628573,False
y2_d075_VZE_YJD_113,6.34,0,84.82207562545257,True
y1_d056_WZR_YJD_65,3.45,0,30.586603449876538,True
y2_d041_XLB_RZQ_106,6.4,0,14.967043265120866,True
y1_d010_GEA_YJD_142,2.35,0,47.896217149269745,False
y2_d055_IAK_RZQ_222,4.6,0,52.395405009599834,True
y2_d008_JMJ_YJD_35,2.75,0,27.895860120275902,True
